年月,來源港,來源洲,臺灣港,TEU
"2022/09","USLAX","北美洲","TWTPE",3134
"2022/09","VNHPH","亞洲","TWKEL",436
"2022/09","VNHPH","亞洲","TWKHH",15012
"2022/09","VNHPH","亞洲","TWTXG",1317
"2022/10","CNNGB","亞洲","TWHPC",178
"2022/10","CNNGB","亞洲","TWKEL",3142
"2022/10","CNNGB","亞洲","TWKHH",4589
"2022/10","CNNGB","亞洲","TWTPE",1955
"2022/10","CNNGB","亞洲","TWTXG",3942
"2022/10","CNSHA","亞洲","TWKEL",15529
"2022/10","CNSHA","亞洲","TWKHH",12714
"2022/10","CNSHA","亞洲","TWTPE",3485
"2022/10","CNSHA","亞洲","TWTXG",9739
"2022/10","HKHKG","亞洲","TWKEL",17924
"2022/10","HKHKG","亞洲","TWKHH",19069
"2022/10","HKHKG","亞洲","TWTPE",3992
"2022/10","HKHKG","亞洲","TWTXG",9719
"2022/10","JPTYO","亞洲","TWKEL",4190
"2022/10","JPTYO","亞洲","TWKHH",15683
"2022/10","JPTYO","亞洲","TWTPE",2236
"2022/10","JPTYO","亞洲","TWTXG",6283
"2022/10","JPYOK","亞洲","TWKEL",3412
"2022/10","JPYOK","亞洲","TWKHH",12211
"2022/10","JPYOK","亞洲","TWTPE",1078
"2022/10","JPYOK","亞洲","TWTXG",2405
"2022/10","KRPUS","亞洲","TWKEL",3221
"2022/10","KRPUS","亞洲","TWKHH",13634
"2022/10","KRPUS","亞洲","TWTPE",1218
"2022/10","KRPUS","亞洲","TWTXG",1680
"2022/10","SGSIN","亞洲","TWKEL",1477
"2022/10","SGSIN","亞洲","TWKHH",16265
"2022/10","SGSIN","亞洲","TWTPE",2972
"2022/10","SGSIN","亞洲","TWTXG",1775
"2022/10","THLCH","亞洲","TWKEL",1215
"2022/10","THLCH","亞洲","TWKHD",493
"2022/10","THLCH","亞洲","TWKHH",15146
"2022/10","THLCH","亞洲","TWTPE",2410
"2022/10","THLCH","亞洲","TWTXG",1185
"2022/10","USLAX","北美洲","TWKEL",2357
"2022/10","USLAX","北美洲","TWKHH",16241
"2022/10","USLAX","北美洲","TWTPE",3607
"2022/10","VNHPH","亞洲","TWKEL",292
"2022/10","VNHPH","亞洲","TWKHH",13150
"2022/10","VNHPH","亞洲","TWTXG",638
"2022/11","CNNGB","亞洲","TWHPC",185
"2022/11","CNNGB","亞洲","TWKEL",4806
"2022/11","CNNGB","亞洲","TWKHH",6038
"2022/11","CNNGB","亞洲","TWTPE",3718
"2022/11","CNNGB","亞洲","TWTXG",4581
"2022/11","CNSHA","亞洲","TWKEL",18421
"2022/11","CNSHA","亞洲","TWKHH",12724
"2022/11","CNSHA","亞洲","TWTPE",4040
"2022/11","CNSHA","亞洲","TWTXG",11157
"2022/11","HKHKG","亞洲","TWKEL",18165
"2022/11","HKHKG","亞洲","TWKHH",18137
"2022/11","HKHKG","亞洲","TWTPE",3826
"2022/11","HKHKG","亞洲","TWTXG",10331
"2022/11","JPTYO","亞洲","TWKEL",4362
"2022/11","JPTYO","亞洲","TWKHH",11533
"2022/11","JPTYO","亞洲","TWTPE",4010
"2022/11","JPTYO","亞洲","TWTXG",2884
"2022/11","JPYOK","亞洲","TWKEL",4355
"2022/11","JPYOK","亞洲","TWKHH",12134
"2022/11","JPYOK","亞洲","TWTPE",989
"2022/11","JPYOK","亞洲","TWTXG",2954
"2022/11","KRPUS","亞洲","TWKEL",3712
"2022/11","KRPUS","亞洲","TWKHH",13237
"2022/11","KRPUS","亞洲","TWTPE",1463
"2022/11","KRPUS","亞洲","TWTXG",1872
"2022/11","SGSIN","亞洲","TWKEL",4340
"2022/11","SGSIN","亞洲","TWKHH",18188
"2022/11","SGSIN","亞洲","TWTPE",1864
"2022/11","SGSIN","亞洲","TWTXG",2318
"2022/11","THLCH","亞洲","TWKEL",1354
"2022/11","THLCH","亞洲","TWKHH",12985
"2022/11","THLCH","亞洲","TWTPE",5449
"2022/11","THLCH","亞洲","TWTXG",1509
"2022/11","USLAX","北美洲","TWKEL",3160
"2022/11","USLAX","北美洲","TWKHH",23136
"2022/11","USLAX","北美洲","TWTPE",2922
"2022/11","VNHPH","亞洲","TWKEL",464
"2022/11","VNHPH","亞洲","TWKHH",7586
"2022/11","VNHPH","亞洲","TWTPE",272
"2022/11","VNHPH","亞洲","TWTXG",459
"2022/12","CNNGB","亞洲","TWHPC",182
"2022/12","CNNGB","亞洲","TWKEL",4803
"2022/12","CNNGB","亞洲","TWKHH",6874
"2022/12","CNNGB","亞洲","TWTPE",1443
"2022/12","CNNGB","亞洲","TWTXG",5514
"2022/12","CNSHA","亞洲","TWKEL",17520
"2022/12","CNSHA","亞洲","TWKHH",11271
"2022/12","CNSHA","亞洲","TWTPE",3572
"2022/12","CNSHA","亞洲","TWTXG",10773
"2022/12","HKHKG","亞洲","TWKEL",19045
"2022/12","HKHKG","亞洲","TWKHH",16358
"2022/12","HKHKG","亞洲","TWTPE",3991
"2022/12","HKHKG","亞洲","TWTXG",10285
"2022/12","JPTYO","亞洲","TWKEL",5228
"2022/12","JPTYO","亞洲","TWKHH",11211
"2022/12","JPTYO","亞洲","TWTPE",3782
"2022/12","JPTYO","亞洲","TWTXG",4721
"2022/12","JPYOK","亞洲","TWKEL",5377
"2022/12","JPYOK","亞洲","TWKHH",12696
"2022/12","JPYOK","亞洲","TWTPE",1421
"2022/12","JPYOK","亞洲","TWTXG",2433
"2022/12","KRPUS","亞洲","TWKEL",4582
"2022/12","KRPUS","亞洲","TWKHH",14722
"2022/12","KRPUS","亞洲","TWTPE",1914
"2022/12","KRPUS","亞洲","TWTXG",2118
"2022/12","SGSIN","亞洲","TWKEL",3260
"2022/12","SGSIN","亞洲","TWKHH",21348
"2022/12","SGSIN","亞洲","TWTPE",2887
"2022/12","SGSIN","亞洲","TWTXG",2698
"2022/12","THLCH","亞洲","TWKEL",1154
"2022/12","THLCH","亞洲","TWKHH",15681
"2022/12","THLCH","亞洲","TWTPE",6362
"2022/12","THLCH","亞洲","TWTXG",1774
"2022/12","USLAX","北美洲","TWKEL",2187
"2022/12","USLAX","北美洲","TWKHH",18159
"2022/12","USLAX","北美洲","TWTPE",3148
"2022/12","VNHPH","亞洲","TWKEL",588
"2022/12","VNHPH","亞洲","TWKHH",8774
"2022/12","VNHPH","亞洲","TWTXG",1379
"2023/01","CNNGB","亞洲","TWHPC",94
"2023/01","CNNGB","亞洲","TWKEL",4464
"2023/01","CNNGB","亞洲","TWKHH",5349
"2023/01","CNNGB","亞洲","TWTPE",1185
"2023/01","CNNGB","亞洲","TWTXG",3354
"2023/01","CNSHA","亞洲","TWKEL",11967
"2023/01","CNSHA","亞洲","TWKHH",11307
"2023/01","CNSHA","亞洲","TWTPE",3295
"2023/01","CNSHA","亞洲","TWTXG",7050
"2023/01","HKHKG","亞洲","TWKEL",15632
"2023/01","HKHKG","亞洲","TWKHH",13596
"2023/01","HKHKG","亞洲","TWTPE",4285
"2023/01","HKHKG","亞洲","TWTXG",10601
"2023/01","JPTYO","亞洲","TWKEL",2636
"2023/01","JPTYO","亞洲","TWKHH",9697
"2023/01","JPTYO","亞洲","TWTPE",1894
"2023/01","JPTYO","亞洲","TWTXG",5777
"2023/01","JPYOK","亞洲","TWKEL",2602
"2023/01","JPYOK","亞洲","TWKHH",10342
"2023/01","JPYOK","亞洲","TWTPE",808
"2023/01","JPYOK","亞洲","TWTXG",1842
"2023/01","KRPUS","亞洲","TWKEL",3098
"2023/01","KRPUS","亞洲","TWKHH",11763
"2023/01","KRPUS","亞洲","TWTPE",1422
"2023/01","KRPUS","亞洲","TWTXG",1626
"2023/01","SGSIN","亞洲","TWKEL",3121
"2023/01","SGSIN","亞洲","TWKHH",18940
"2023/01","SGSIN","亞洲","TWTPE",2725
"2023/01","SGSIN","亞洲","TWTXG",2986
"2023/01","THLCH","亞洲","TWKEL",1238
"2023/01","THLCH","亞洲","TWKHH",12790
"2023/01","THLCH","亞洲","TWTPE",4738
"2023/01","THLCH","亞洲","TWTXG",1691
"2023/01","USLAX","北美洲","TWKEL",737
"2023/01","USLAX","北美洲","TWKHH",11295
"2023/01","USLAX","北美洲","TWTPE",4061
"2023/01","VNHPH","亞洲","TWKEL",104
"2023/01","VNHPH","亞洲","TWKHH",9243
"2023/01","VNHPH","亞洲","TWTXG",801
"2023/02","CNNGB","亞洲","TWKEL",3292
"2023/02","CNNGB","亞洲","TWKHH",3981
"2023/02","CNNGB","亞洲","TWTPE",1270
"2023/02","CNNGB","亞洲","TWTXG",3982
"2023/02","CNSHA","亞洲","TWKEL",12443
"2023/02","CNSHA","亞洲","TWKHH",7983
"2023/02","CNSHA","亞洲","TWTPE",2949
"2023/02","CNSHA","亞洲","TWTXG",7550
"2023/02","HKHKG","亞洲","TWKEL",11269
"2023/02","HKHKG","亞洲","TWKHH",14600
"2023/02","HKHKG","亞洲","TWTPE",3276
"2023/02","HKHKG","亞洲","TWTXG",6798
"2023/02","JPTYO","亞洲","TWKEL",4107
"2023/02","JPTYO","亞洲","TWKHH",11044
"2023/02","JPTYO","亞洲","TWTPE",2849
"2023/02","JPTYO","亞洲","TWTXG",7366
"2023/02","JPYOK","亞洲","TWKEL",3989
"2023/02","JPYOK","亞洲","TWKHH",13142
"2023/02","JPYOK","亞洲","TWTPE",1440
"2023/02","JPYOK","亞洲","TWTXG",2887
"2023/02","KRPUS","亞洲","TWKEL",4186
"2023/02","KRPUS","亞洲","TWKHH",12694
"2023/02","KRPUS","亞洲","TWTPE",1557
